[12/100][900/1000] Loss_D:0.3785 | Loss_G:4.0674
[12/100][950/1000] Loss_D:0.5440 | Loss_G:4.0628
[13/100][0/1000] Loss_D:0.5056 | Loss_G:2.2740
[13/100][50/1000] Loss_D:0.7815 | Loss_G:5.7534
[13/100][100/1000] Loss_D:0.9263 | Loss_G:8.0542
[13/100][150/1000] Loss_D:0.4191 | Loss_G:1.7557
[13/100][200/1000] Loss_D:0.3588 | Loss_G:2.4272
[13/100][250/1000] Loss_D:0.3711 | Loss_G:3.7553
[13/100][300/1000] Loss_D:0.5807 | Loss_G:3.6729
[13/100][350/1000] Loss_D:0.0665 | Loss_G:3.7540
[13/100][400/1000] Loss_D:0.4252 | Loss_G:1.5846
[13/100][450/1000] Loss_D:0.3366 | Loss_G:2.6411
[13/100][500/1000] Loss_D:0.4162 | Loss_G:2.8916
[13/100][550/1000] Loss_D:0.1041 | Loss_G:3.8225
[13/100][600/1000] Loss_D:0.3535 | Loss_G:2.6729
[13/100][650/1000] Loss_D:0.8820 | Loss_G:1.7474
[13/100][700/1000] Loss_D:0.9585 | Loss_G:0.4298
[13/100][750/1000] Loss_D:0.3525 | Loss_G:3.1830
[13/100][800/1000] Loss_D:0.5824 | Loss_G:1.5770
[13/100][850/1000] Loss_D:0.1056 | Loss_G:3.7462
[13/100][900/1000] Loss_D:0.1973 | Loss_G:4.0707
[13/100][950/1000] Loss_D:0.7954 | Loss_G:1.7221
[14/100][0/1000] Loss_D:0.6816 | Loss_G:5.6441
[14/100][50/1000] Loss_D:0.8710 | Loss_G:1.6157
[14/100][100/1000] Loss_D:0.2221 | Loss_G:5.8130
[14/100][150/1000] Loss_D:0.5457 | Loss_G:2.6715
[14/100][200/1000] Loss_D:0.1992 | Loss_G:3.6911
[14/100][250/1000] Loss_D:0.3136 | Loss_G:3.7678
[14/100][300/1000] Loss_D:0.4425 | Loss_G:6.1280
[14/100][350/1000] Loss_D:0.4769 | Loss_G:2.5210
[14/100][400/1000] Loss_D:0.5444 | Loss_G:2.6724
[14/100][450/1000] Loss_D:0.7461 | Loss_G:2.5072
[14/100][500/1000] Loss_D:0.5231 | Loss_G:2.7054
[14/100][550/1000] Loss_D:0.9520 | Loss_G:6.2539
[14/100][600/1000] Loss_D:0.3497 | Loss_G:5.0694
[14/100][650/1000] Loss_D:0.6081 | Loss_G:4.4200
[14/100][700/1000] Loss_D:0.1181 | Loss_G:3.2210
[14/100][750/1000] Loss_D:0.3402 | Loss_G:2.9053
[14/100][800/1000] Loss_D:2.1892 | Loss_G:0.2076
[14/100][850/1000] Loss_D:0.3829 | Loss_G:2.1308
[14/100][900/1000] Loss_D:0.3491 | Loss_G:4.0980
[14/100][950/1000] Loss_D:0.7814 | Loss_G:7.5408
